  1 t=     0 w 0 g=   0 pan=    0 hp=  100/100 hero=(0,12) alv= 0 wr=0 th=0 st=0 wk=0 {}
  2 t=   5.8 w 0 g=  30 pan=   30 hp=  100/100 hero=(0,12) alv= 0 wr=0 th=0 st=0 wk=0 {}
  3 t=  14.4 w 0 g=  60 pan=   60 hp=  100/100 hero=(0,12) alv= 3 wr=0 th=0 st=0 wk=0 {}
  4 t= 14.47 w 0 g=  60 pan=   60 hp=  100/100 hero=(0,12) alv= 3 wr=0 th=0 st=0 wk=0 {}
  5 t= 20.77 w 0 g=  10 pan=   60 hp=  100/100 hero=(0,12) alv= 3 wr=0 th=0 st=1 wk=0 {"turret":1}
  6 t= 20.93 w 0 g=  10 pan=   60 hp=  100/100 hero=(0,12) alv= 3 wr=0 th=0 st=1 wk=0 {"turret":1}
  7 t=  21.1 w 0 g=  10 pan=   60 hp=  100/100 hero=(0,12) alv= 3 wr=0 th=0 st=1 wk=0 {"turret":1}
  8 t=  21.3 w 0 g=  10 pan=   60 hp=  100/100 hero=(0,12) alv= 3 wr=0 th=0 st=1 wk=0 {"turret":1}
  9 t=    30 w 1 g=  10 pan=   60 hp=  100/100 hero=(0,12) alv= 7 wr=0 th=0 st=1 wk=0 {"turret":1}
 10 t= 31.93 w 1 g=  40 pan=   90 hp=  100/100 hero=(0,12) alv= 7 wr=0 th=0 st=1 wk=0 {"turret":1}
 11 t= 60.03 w 2 g=  29 pan=  104 hp=  100/100 hero=(0,12) alv=17 wr=0 th=0 st=2 wk=0 {"sentry_beacon":1,"turret":1}
 12 t=  63.9 w 2 g=  45 pan=  120 hp=  100/100 hero=(0,12) alv=14 wr=0 th=0 st=2 wk=0 {"sentry_beacon":1,"turret":1}
 13 t= 67.97 w 2 g=  75 pan=  150 hp=  100/100 hero=(0,12) alv=10 wr=0 th=0 st=2 wk=0 {"sentry_beacon":1,"turret":1}
 14 t= 68.03 w 2 g=  75 pan=  150 hp=  100/100 hero=(0,12) alv=14 wr=0 th=0 st=2 wk=0 {"sentry_beacon":1,"turret":1}
 15 t= 90.03 w 3 g=   5 pan=  150 hp=  100/100 hero=(0,12) alv=11 wr=0 th=0 st=3 wk=0 {"sentry_beacon":1,"turret":2}
 16 t=  95.9 w 3 g=  35 pan=  180 hp=  100/100 hero=(0,12) alv= 5 wr=0 th=0 st=3 wk=0 {"sentry_beacon":1,"turret":2}
 17 t=  99.4 w 3 g=  65 pan=  210 hp=  100/100 hero=(0,12) alv= 6 wr=0 th=0 st=3 wk=0 {"sentry_beacon":1,"turret":2}
 18 t=120.03 w 4 g=   5 pan=  210 hp=  100/100 hero=(0,12) alv=14 wr=0 th=2 st=4 wk=0 {"sentry_beacon":1,"stockpile":1,"turret":2}
 19 t=121.33 w 4 g=   5 pan=  210 hp=  100/100 hero=(0,12) alv=11 wr=0 th=2 st=4 wk=0 {"sentry_beacon":1,"stockpile":1,"turret":2} OFFER
 20 t=122.57 w 4 g=  35 pan=  240 hp=  100/100 hero=(0,12) alv=10 wr=0 th=2 st=4 wk=0 {"sentry_beacon":1,"stockpile":1,"turret":2}
 21 t=125.17 w 4 g=  35 pan=  240 hp=  100/100 hero=(0,12) alv= 6 wr=0 th=0 st=4 wk=0 {"sentry_beacon":1,"stockpile":1,"turret":2} OFFER
 22 t=126.47 w 4 g=  65 pan=  270 hp=  100/100 hero=(0,12) alv= 5 wr=0 th=0 st=4 wk=0 {"sentry_beacon":1,"stockpile":1,"turret":2}
 23 t= 130.2 w 4 g=  65 pan=  270 hp=  100/100 hero=(0,12) alv=10 wr=2 th=1 st=4 wk=0 {"sentry_beacon":1,"stockpile":1,"turret":2}
 24 t= 132.7 w 4 g=   5 pan=  270 hp=  100/100 hero=(0,12) alv= 8 wr=1 th=1 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2} OFFER
 25 t=138.13 w 4 g=   5 pan=  270 hp=  125/125 hero=(0,12) alv= 3 wr=0 th=0 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2} OFFER
 26 t=150.03 w 5 g=   5 pan=  270 hp=  125/125 hero=(0,12) alv=10 wr=0 th=2 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2}
 27 t=151.17 w 5 g=   5 pan=  270 hp=  125/125 hero=(0,12) alv= 9 wr=0 th=2 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2} OFFER
 28 t=154.23 w 5 g=  35 pan=  300 hp=  125/125 hero=(0,12) alv= 6 wr=0 th=1 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2}
 29 t=157.93 w 5 g=  65 pan=  330 hp=  125/125 hero=(0,12) alv= 2 wr=0 th=0 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2}
 30 t=   158 w 5 g=  65 pan=  330 hp=  125/125 hero=(0,12) alv= 2 wr=0 th=0 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2}
 31 t=158.03 w 5 g=  65 pan=  330 hp=  125/125 hero=(0,12) alv=10 wr=2 th=2 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2}
 32 t=158.07 w 5 g=  65 pan=  330 hp=  125/125 hero=(0,12) alv=10 wr=2 th=2 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2}
 33 t=   159 w 5 g=  65 pan=  330 hp=  125/125 hero=(0,12) alv=10 wr=2 th=2 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2}
 34 t=159.03 w 5 g=  65 pan=  330 hp=  125/125 hero=(0,12) alv=10 wr=2 th=2 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2}
 35 t= 160.1 w 5 g=  65 pan=  330 hp=  125/125 hero=(0,12) alv= 9 wr=1 th=1 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2}
 36 t=160.13 w 5 g=  65 pan=  330 hp=  125/125 hero=(0,12) alv= 9 wr=1 th=1 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2}
 37 t=160.17 w 5 g=  65 pan=  330 hp=  125/125 hero=(0,12) alv= 9 wr=1 th=1 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2}
 38 t= 160.2 w 5 g=  65 pan=  330 hp=  125/125 hero=(0,12) alv= 9 wr=1 th=1 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2}
114 t=   480 w16 g=  16 pan=  940 hp=  151/175 hero=(-0.1,12.3) alv=55 wr=0 th=4 st=12 wk=0 {"sentry_beacon":5,"sluice":1,"stockpile":2,"turret":4}
115 t=482.23 w16 g=  19 pan=  940 hp=  151/175 hero=(-0.1,12.3) alv=50 wr=0 th=4 st=12 wk=0 {"sentry_beacon":5,"sluice":1,"stockpile":2,"turret":4} OFFER
116 t=491.53 w16 g=  62 pan=  980 hp=  151/175 hero=(-0.1,12.3) alv=45 wr=2 th=3 st=12 wk=0 {"sentry_beacon":5,"sluice":1,"stockpile":2,"turret":4}
117 t=492.07 w16 g=  62 pan=  980 hp=  151/175 hero=(-0.1,12.3) alv=42 wr=2 th=3 st=12 wk=0 {"sentry_beacon":5,"sluice":1,"stockpile":2,"turret":4}
118 t=492.43 w16 g=  62 pan=  980 hp=  151/175 hero=(-0.1,12.3) alv=40 wr=2 th=2 st=12 wk=0 {"sentry_beacon":5,"sluice":1,"stockpile":2,"turret":4}
119 t=492.97 w16 g=  62 pan=  980 hp=  151/175 hero=(-0.1,12.3) alv=41 wr=2 th=2 st=12 wk=0 {"sentry_beacon":5,"sluice":1,"stockpile":2,"turret":4}
120 t=493.57 w16 g= 102 pan= 1020 hp=  151/175 hero=(-0.1,12.3) alv=39 wr=1 th=1 st=12 wk=0 {"sentry_beacon":5,"sluice":1,"stockpile":2,"turret":4}
121 t=493.87 w16 g= 102 pan= 1020 hp=  151/175 hero=(-0.1,12.3) alv=39 wr=1 th=0 st=12 wk=0 {"sentry_beacon":5,"sluice":1,"stockpile":2,"turret":4}
122 t=494.77 w16 g= 102 pan= 1020 hp=  151/175 hero=(-0.1,12.3) alv=40 wr=1 th=0 st=12 wk=0 {"sentry_beacon":5,"sluice":1,"stockpile":2,"turret":4}
123 t=495.67 w16 g= 102 pan= 1020 hp=  151/175 hero=(-0.1,12.3) alv=41 wr=1 th=0 st=11 wk=1 {"sentry_beacon":5,"sluice":1,"stockpile":2,"turret":4}
124 t=498.37 w16 g= 100 pan= 1020 hp=  151/175 hero=(-0.1,12.3) alv=38 wr=1 th=0 st=11 wk=1 {"sentry_beacon":5,"sluice":1,"stockpile":2,"turret":4}
125 t=500.13 w16 g=   1 pan= 1020 hp=  151/175 hero=(-0.1,12.3) alv=40 wr=1 th=0 st=12 wk=1 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4}
126 t= 503.7 w16 g=   1 pan= 1020 hp=  151/175 hero=(-0.1,12.3) alv=38 wr=0 th=0 st=12 wk=1 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4} OFFER
127 t=509.67 w16 g=  51 pan= 1070 hp=  151/175 hero=(-0.1,12.3) alv=38 wr=0 th=0 st=12 wk=1 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4}
128 t=   510 w17 g=  51 pan= 1070 hp=  151/175 hero=(-0.1,12.3) alv=58 wr=0 th=4 st=12 wk=1 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4}
129 t=519.93 w17 g=  84 pan= 1120 hp=  151/175 hero=(-0.1,12.3) alv=55 wr=3 th=3 st=13 wk=0 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4}
130 t=520.93 w17 g=  84 pan= 1120 hp=  151/175 hero=(-0.1,12.3) alv=53 wr=3 th=3 st=13 wk=0 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4}
131 t=521.13 w17 g=  84 pan= 1120 hp=  151/175 hero=(-0.1,12.3) alv=53 wr=3 th=3 st=13 wk=0 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4}
132 t=521.83 w17 g=  84 pan= 1120 hp=  151/175 hero=(-0.1,12.3) alv=48 wr=3 th=3 st=13 wk=0 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4}
133 t=522.03 w17 g=  84 pan= 1120 hp=  151/175 hero=(-0.1,12.3) alv=49 wr=3 th=3 st=13 wk=0 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4}
134 t=522.73 w17 g=  84 pan= 1120 hp=  151/175 hero=(-0.1,12.3) alv=47 wr=3 th=2 st=13 wk=0 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4}
135 t=522.93 w17 g=  84 pan= 1120 hp=  151/175 hero=(-0.1,12.3) alv=47 wr=3 th=2 st=13 wk=0 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4}
136 t=523.63 w17 g=  84 pan= 1120 hp=  151/175 hero=(-0.1,12.3) alv=46 wr=2 th=2 st=12 wk=1 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4}
137 t=   524 w17 g=  84 pan= 1120 hp=  151/175 hero=(-0.1,12.3) alv=46 wr=2 th=2 st=12 wk=1 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4}
138 t= 524.9 w17 g=  84 pan= 1120 hp=  151/175 hero=(-0.1,12.3) alv=43 wr=1 th=1 st=12 wk=1 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4}
139 t= 525.5 w17 g=  84 pan= 1120 hp=  151/175 hero=(-0.1,12.3) alv=42 wr=1 th=1 st=12 wk=1 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4} OFFER
140 t= 525.8 w17 g=  84 pan= 1120 hp=  175/175 hero=(-0.1,12.3) alv=42 wr=1 th=1 st=12 wk=1 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4}
141 t=527.03 w17 g= 134 pan= 1170 hp=  175/175 hero=(-0.1,12.3) alv=42 wr=0 th=1 st=12 wk=1 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4}
142 t=   540 w18 g= 127 pan= 1170 hp=  175/175 hero=(-0.1,12.3) alv=54 wr=0 th=4 st=13 wk=0 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4}
143 t=550.73 w18 g= 175 pan= 1212 hp=  175/175 hero=(-0.1,12.3) alv=57 wr=3 th=3 st=13 wk=0 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4}
144 t=552.57 w18 g= 178 pan= 1212 hp=  175/175 hero=(-0.1,12.3) alv=50 wr=2 th=1 st=13 wk=0 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4} OFFER
145 t=554.03 w18 g= 178 pan= 1212 hp=  175/175 hero=(-0.1,12.3) alv=50 wr=2 th=1 st=13 wk=0 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4}
146 t=554.33 w18 g= 178 pan= 1212 hp=  175/175 hero=(-0.1,12.3) alv=49 wr=2 th=1 st=13 wk=0 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4}
147 t=554.93 w18 g= 178 pan= 1212 hp=  175/175 hero=(-0.1,12.3) alv=48 wr=2 th=0 st=13 wk=0 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4}
148 t=555.23 w18 g= 178 pan= 1212 hp=  175/175 hero=(-0.1,12.3) alv=48 wr=2 th=0 st=13 wk=0 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4}
149 t=555.83 w18 g= 178 pan= 1212 hp=  175/175 hero=(-0.1,12.3) alv=48 wr=2 th=0 st=13 wk=0 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4}
150 t=556.13 w18 g= 178 pan= 1212 hp=  175/175 hero=(-0.1,12.3) alv=48 wr=2 th=0 st=13 wk=0 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4}
151 t=556.73 w18 g= 178 pan= 1212 hp=  175/175 hero=(-0.1,12.3) alv=46 wr=1 th=0 st=13 wk=0 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4}
152 t=566.97 w18 g= 231 pan= 1262 hp=  175/175 hero=(-0.1,12.3) alv=40 wr=0 th=0 st=13 wk=0 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4}
153 t=   570 w19 g= 231 pan= 1262 hp=  175/175 hero=(-0.1,12.3) alv=60 wr=0 th=4 st=13 wk=0 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4}
154 t= 574.2 w19 g= 242 pan= 1270 hp=  175/175 hero=(-0.1,12.3) alv=51 wr=0 th=3 st=13 wk=0 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4}
155 t= 581.6 w19 g= 235 pan= 1270 hp=  175/175 hero=(-0.1,12.3) alv=60 wr=2 th=4 st=13 wk=0 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4}
156 t=582.23 w19 g= 235 pan= 1270 hp=  175/175 hero=(-0.1,12.3) alv=58 wr=2 th=4 st=13 wk=0 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4} OFFER
157 t= 582.5 w19 g= 235 pan= 1270 hp=  175/175 hero=(-0.1,12.3) alv=57 wr=2 th=4 st=13 wk=0 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4}
158 t= 583.4 w19 g= 235 pan= 1270 hp=  175/175 hero=(-0.1,12.3) alv=57 wr=2 th=3 st=13 wk=0 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4}
159 t=583.97 w19 g= 235 pan= 1270 hp=  175/175 hero=(-0.1,12.3) alv=57 wr=2 th=3 st=13 wk=0 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4}
160 t= 584.3 w19 g= 235 pan= 1270 hp=  175/175 hero=(-0.1,12.3) alv=57 wr=2 th=3 st=13 wk=0 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4}
161 t=584.87 w19 g= 235 pan= 1270 hp=  175/175 hero=(-0.1,12.3) alv=56 wr=2 th=1 st=13 wk=0 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4}
162 t= 585.2 w19 g= 235 pan= 1270 hp=  175/175 hero=(-0.1,12.3) alv=57 wr=2 th=1 st=12 wk=1 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4}
163 t=585.77 w19 g= 235 pan= 1270 hp=  175/175 hero=(-0.1,12.3) alv=56 wr=2 th=0 st=12 wk=1 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4}
164 t=595.73 w19 g= 320 pan= 1362 hp=  175/175 hero=(-0.1,12.3) alv=51 wr=0 th=0 st=13 wk=0 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4}
165 t=599.33 w19 g= 328 pan= 1370 hp=  175/175 hero=(-0.1,12.3) alv=50 wr=0 th=0 st=13 wk=0 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4}
166 t=   600 w20 g= 328 pan= 1370 hp=  175/175 hero=(-0.1,12.3) alv=50 wr=0 th=0 st=13 wk=0 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4} SECURE
167 t=   600 w20 g= 328 pan= 1370 hp=  175/175 hero=(-0.1,12.3) alv=50 wr=0 th=0 st=13 wk=0 {"sentry_beacon":6,"sluice":1,"stockpile":2,"turret":4}
